           flux         loglam           ivar
              E              E              E
                                             
   2.150122E+01   3.595600E+00   1.266181E-01
   1.984575E+01   3.595700E+00   1.250465E-01
   1.796353E+01   3.595800E+00   1.315621E-01
   1.416032E+01   3.595900E+00   1.335787E-01
   1.877983E+01   3.596000E+00   1.277418E-01
   2.107497E+01   3.596100E+00   1.234566E-01
   2.197902E+01   3.596200E+00   1.223944E-01
   2.053473E+01   3.596300E+00   1.231134E-01
   1.843749E+01   3.596400E+00   1.258916E-01
   2.130845E+01   3.596500E+00   1.209839E-01
   2.142107E+01   3.596600E+00   1.204245E-01
   1.993881E+01   3.596700E+00   1.224548E-01
   2.115298E+01   3.596800E+00   1.225698E-01
   2.561057E+01   3.596900E+00   1.187773E-01
   2.097661E+01   3.597000E+00   1.228470E-01
   1.817122E+01   3.597100E+00   1.322476E-01
   2.256737E+01   3.597200E+00   1.329248E-01
   2.737998E+01   3.597300E+00   1.109243E-01
   2.894533E+01   3.597400E+00   8.170801E-02
   2.562346E+01   3.597500E+00   1.086210E-01
   1.766320E+01   3.597600E+00   1.178179E-01
   2.056234E+01   3.597700E+00   1.474284E-01
   1.947982E+01   3.597800E+00   1.418400E-01
   2.325904E+01   3.597900E+00   1.352579E-01
   2.036684E+01   3.598000E+00   1.384087E-01
   1.950701E+01   3.598100E+00   1.460558E-01
   2.130441E+01   3.598200E+00   1.520307E-01
   1.804294E+01   3.598300E+00   1.669560E-01
   1.545558E+01   3.598400E+00   1.719371E-01
   1.916943E+01   3.598500E+00   1.722990E-01
   1.974488E+01   3.598600E+00   1.688289E-01
   1.704226E+01   3.598700E+00   1.783905E-01
   1.788711E+01   3.598800E+00   1.766331E-01
   1.824505E+01   3.598900E+00   1.726295E-01
   1.959917E+01   3.599000E+00   1.703319E-01
   1.831664E+01   3.599100E+00   1.645447E-01
   1.697876E+01   3.599200E+00   1.615681E-01
   1.487894E+01   3.599300E+00   1.603097E-01
   1.505260E+01   3.599400E+00   1.501694E-01
   1.637870E+01   3.599500E+00   1.505087E-01
   1.408382E+01   3.599600E+00   1.559258E-01
   1.696620E+01   3.599700E+00   1.545053E-01
   2.254965E+01   3.599800E+00   1.511524E-01
   1.622570E+01   3.599900E+00   1.705245E-01
   1.579171E+01   3.600000E+00   1.675096E-01
   1.762306E+01   3.600100E+00   1.694892E-01
   1.934279E+01   3.600200E+00   1.603992E-01
   2.158081E+01   3.600300E+00   1.523217E-01
   2.011171E+01   3.600400E+00   1.444752E-01
   1.890898E+01   3.600500E+00   1.412130E-01
   2.086930E+01   3.600600E+00   1.391387E-01
   1.845349E+01   3.600700E+00   1.459909E-01
   1.900817E+01   3.600800E+00   1.474964E-01
   1.692511E+01   3.600900E+00   1.583029E-01
   1.651808E+01   3.601000E+00   1.595501E-01
   1.817802E+01   3.601100E+00   1.546341E-01
   1.526735E+01   3.601200E+00   1.601525E-01
   1.566744E+01   3.601300E+00   1.671925E-01
   1.705088E+01   3.601400E+00   1.711045E-01
   1.724500E+01   3.601500E+00   1.722064E-01
   1.778433E+01   3.601600E+00   1.729985E-01
   1.649790E+01   3.601700E+00   1.747097E-01
   1.471459E+01   3.601800E+00   1.825413E-01
   1.999367E+01   3.601900E+00   1.683011E-01
   2.049167E+01   3.602000E+00   1.658143E-01
   1.656560E+01   3.602100E+00   1.721008E-01
   1.855899E+01   3.602200E+00   1.727278E-01
   1.616154E+01   3.602300E+00   1.870016E-01
   1.622045E+01   3.602400E+00   1.832919E-01
   1.794230E+01   3.602500E+00   1.640058E-01
   1.985822E+01   3.602600E+00   1.613322E-01
   2.291722E+01   3.602700E+00   1.704089E-01
   2.125425E+01   3.602800E+00   1.779658E-01
   1.784204E+01   3.602900E+00   1.812027E-01
   1.827101E+01   3.603000E+00   1.742263E-01
   2.070705E+01   3.603100E+00   1.685542E-01
   1.929910E+01   3.603200E+00   1.761450E-01
   1.905267E+01   3.603300E+00   1.770951E-01
   1.879798E+01   3.603400E+00   1.765377E-01
   1.856847E+01   3.603500E+00   1.808300E-01
   2.127120E+01   3.603600E+00   1.824781E-01
   2.346504E+01   3.603700E+00   1.780983E-01
   2.062139E+01   3.603800E+00   1.798158E-01
   1.849282E+01   3.603900E+00   1.859077E-01
   1.900431E+01   3.604000E+00   1.877007E-01
   2.418038E+01   3.604100E+00   1.646110E-01
   1.763301E+01   3.604200E+00   1.639800E-01
   1.881967E+01   3.604300E+00   1.568457E-01
   1.660482E+01   3.604400E+00   1.640202E-01
   2.195866E+01   3.604500E+00   1.686362E-01
   2.514441E+01   3.604600E+00   1.699705E-01
   2.434628E+01   3.604700E+00   1.761465E-01
   2.505956E+01   3.604800E+00   1.754219E-01
   2.008349E+01   3.604900E+00   1.754171E-01
   2.101227E+01   3.605000E+00   1.715010E-01
   1.990890E+01   3.605100E+00   1.780611E-01
   1.961297E+01   3.605200E+00   1.915041E-01
   1.775109E+01   3.605300E+00   1.985770E-01
   1.402175E+01   3.605400E+00   2.104999E-01
   2.045082E+01   3.605500E+00   1.963321E-01
   2.099287E+01   3.605600E+00   1.932735E-01
   1.951814E+01   3.605700E+00   1.848322E-01
   2.256931E+01   3.605800E+00   1.697306E-01
   2.068415E+01   3.605900E+00   1.694666E-01
   1.944886E+01   3.606000E+00   1.702048E-01
   2.064330E+01   3.606100E+00   1.735374E-01
   1.555804E+01   3.606200E+00   1.972787E-01
   2.116956E+01   3.606300E+00   1.988089E-01
   1.627151E+01   3.606400E+00   2.149280E-01
   1.993885E+01   3.606500E+00   2.074029E-01
   2.388232E+01   3.606600E+00   1.985925E-01
   2.220931E+01   3.606700E+00   1.922389E-01
   2.172136E+01   3.606800E+00   1.843055E-01
   2.243713E+01   3.606900E+00   1.878759E-01
   1.903996E+01   3.607000E+00   1.919576E-01
   1.792901E+01   3.607100E+00   1.574613E-01
   1.951431E+01   3.607200E+00   1.354774E-01
   2.088664E+01   3.607300E+00   1.380959E-01
   2.145648E+01   3.607400E+00   1.675960E-01
   1.857842E+01   3.607500E+00   2.011633E-01
   1.867068E+01   3.607600E+00   2.015655E-01
   1.814020E+01   3.607700E+00   1.932497E-01
   1.703759E+01   3.607800E+00   2.008898E-01
   1.931894E+01   3.607900E+00   1.964671E-01
   2.121105E+01   3.608000E+00   1.962018E-01
   1.865525E+01   3.608100E+00   2.159437E-01
   1.723005E+01   3.608200E+00   2.323475E-01
   1.557075E+01   3.608300E+00   2.381358E-01
   2.008204E+01   3.608400E+00   2.242703E-01
   1.979673E+01   3.608500E+00   2.228881E-01
   2.071167E+01   3.608600E+00   2.159429E-01
   1.850143E+01   3.608700E+00   2.178604E-01
   1.681765E+01   3.608800E+00   2.235937E-01
   2.059311E+01   3.608900E+00   2.242596E-01
   2.173166E+01   3.609000E+00   2.204248E-01
   1.709131E+01   3.609100E+00   2.300956E-01
   1.937945E+01   3.609200E+00   2.205027E-01
   2.022738E+01   3.609300E+00   2.233631E-01
   1.638968E+01   3.609400E+00   2.317127E-01
   1.902791E+01   3.609500E+00   2.190502E-01
   1.918686E+01   3.609600E+00   2.099849E-01
   2.503627E+01   3.609700E+00   2.049411E-01
   2.240584E+01   3.609800E+00   2.198704E-01
   1.968108E+01   3.609900E+00   2.384083E-01
   2.241107E+01   3.610000E+00   2.338139E-01
   2.218580E+01   3.610100E+00   2.287795E-01
   1.971198E+01   3.610200E+00   2.270809E-01
   2.127650E+01   3.610300E+00   2.165740E-01
   2.059035E+01   3.610400E+00   2.098399E-01
   1.718326E+01   3.610500E+00   2.091224E-01
   1.984353E+01   3.610600E+00   2.030105E-01
   1.565704E+01   3.610700E+00   2.072856E-01
   1.749583E+01   3.610800E+00   2.086981E-01
   2.002277E+01   3.610900E+00   2.136159E-01
   2.004606E+01   3.611000E+00   2.204749E-01
   1.993751E+01   3.611100E+00   2.283786E-01
   2.034271E+01   3.611200E+00   2.251343E-01
   2.074002E+01   3.611300E+00   2.251772E-01
   1.956510E+01   3.611400E+00   2.160840E-01
   1.572495E+01   3.611500E+00   2.264276E-01
